Column1,sys_exec_out_time,pfix_state_trans_position0,pfix_state_trans_position1,pfix_state_trans_position2,pfix_state_trans_velocity0,pfix_state_trans_velocity1,pfix_state_trans_velocity2
0,0,6878100,0,0,0,-840.33,-7566.1
1,56.77,6867600,-47822,-430570,-479.48,-839.05,-7554.5
2,113.54,6828100,-95375,-858720,-956.26,-834.23,-7511.1
3,170.31,6760500,-142490,-1283000,-1428.7,-825.97,-7436.7
4,227.08,6665500,-189010,-1701800,-1895.1,-814.36,-7332.2
5,283.85,6544000,-234760,-2113700,-2353.8,-799.51,-7198.5
6,340.62,6396600,-279590,-2517300,-2803.3,-781.5,-7036.4
7,397.39,6224200,-323320,-2911000,-3241.7,-760.44,-6846.7
8,454.16,6027500,-365780,-3293400,-3667.5,-736.41,-6630.4
9,510.93,5807300,-406830,-3662900,-4079,-709.51,-6388.2
10,567.7,5564500,-446280,-4018100,-4474.5,-679.84,-6121
11,624.47,5299700,-483970,-4357500,-4852.5,-647.49,-5829.8
12,681.24,5014000,-519760,-4679700,-5211.3,-612.58,-5515.5
13,738.01,4708400,-553480,-4983400,-5549.4,-575.25,-5179.4
14,794.78,4384300,-585010,-5267300,-5865.6,-535.65,-4822.8
15,851.55,4042700,-614210,-5530200,-6158.3,-493.91,-4447
16,908.32,3685200,-641000,-5771300,-6426.9,-450.24,-4053.8
17,965.09,3313200,-665260,-5989800,-6670.2,-404.79,-3644.6
18,1021.9,2928300,-686930,-6184900,-6887.4,-357.77,-3221.2
19,1078.6,2531900,-705910,-6355700,-7077.7,-309.33,-2785.1
20,1135.4,2125500,-722100,-6501500,-7240,-259.68,-2338
21,1192.2,1710500,-735410,-6621400,-7373.5,-208.98,-1881.6
22,1248.9,1288800,-745760,-6714500,-7477.2,-157.46,-1417.7
23,1305.7,862070,-753120,-6780900,-7551.1,-105.32,-948.3
24,1362.5,431950,-757520,-6820400,-7595.1,-52.773,-475.15
25,1419.2,128,-758950,-6833300,-7609.5,-0.015728,-0.14161
26,1476,-431690,-757430,-6819600,-7594.3,52.742,474.87
27,1532.8,-861840,-752970,-6779500,-7549.6,105.3,948.04
28,1589.6,-1288600,-745580,-6713000,-7475.5,157.44,1417.5
29,1646.3,-1710400,-735270,-6620200,-7372.1,208.97,1881.5
30,1703.1,-2125400,-722060,-6501200,-7239.6,259.67,2338
31,1759.9,-2532000,-705950,-6356100,-7078.1,309.35,2785.3
32,1816.6,-2928500,-686990,-6185400,-6888,357.79,3221.4
33,1873.4,-3313300,-665300,-5990100,-6670.6,404.8,3644.7
34,1930.2,-3685000,-640990,-5771300,-6426.8,450.21,4053.6
35,1986.9,-4042300,-614170,-5529800,-6157.9,493.86,4446.6
36,2043.7,-4383700,-584950,-5266700,-5864.9,535.58,4822.2
37,2100.5,-4708100,-553440,-4983000,-5549,575.21,5179
38,2157.3,-5013900,-519750,-4679600,-5211.2,612.57,5515.4
39,2214,-5300000,-483990,-4357600,-4852.6,647.52,5830.1
40,2270.8,-5565000,-446300,-4018400,-4474.8,679.91,6121.7
41,2327.6,-5808000,-406850,-3663200,-4079.2,709.59,6388.9
42,2384.3,-6027600,-365780,-3293400,-3667.5,736.42,6630.4
43,2441.1,-6222800,-323250,-2910400,-3241,760.26,6845.2
44,2497.9,-6393000,-279430,-2515900,-2801.7,781.06,7032.4
45,2554.6,-6538000,-234510,-2111500,-2351.3,798.77,7191.9
46,2611.4,-6657400,-188680,-1698800,-1891.7,813.37,7323.3
47,2668.2,-6751100,-142110,-1279500,-1424.8,824.81,7426.3
48,2724.9,-6818700,-94994,-855300,-952.45,833.07,7500.7
49,2781.7,-6860000,-47521,-427860,-476.46,838.11,7546.1
50,2838.5,-6874600,127,1144,1.274,839.91,7562.2
51,2895.3,-6862400,47764,430050,478.9,838.42,7548.8
52,2952,-6823100,95204,857190,954.55,833.61,7505.6
53,3008.8,-6756400,142260,1280900,1426.4,825.46,7432.2
54,3065.6,-6662200,188760,1699500,1892.5,813.96,7328.6
55,3122.3,-6541400,234510,2111500,2351.3,799.19,7195.7
56,3179.1,-6394600,279360,2515300,2801,781.26,7034.2
57,3235.9,-6222700,323130,2909300,3239.8,760.26,6845.1
58,3292.6,-6026400,365650,3292100,3666.1,736.28,6629.2
59,3349.4,-5806600,406740,3662100,4078.1,709.43,6387.4
